model,MAE,RMSE,R2,AdjR2,train_time_sec
Lasso,4754.813637020403,6189.025914777038,0.5566129714933157,0.5342841283311085,0.12255978584289551
Linear,4768.020323185134,6194.554555346726,0.5558204647467435,0.5334517111728385,0.0039882659912109375
Ridge,4767.803410627511,6194.726873883734,0.5557957522572207,0.5334257541694547,4.69086480140686
ElasticNet,4776.6603094100565,6239.0983628449285,0.5494094842180857,0.5267178755096439,0.11623907089233398
RF,4845.16981063675,6285.336206382249,0.5427061004966891,0.519676911313069,10.35277533531189
XGB,4915.4562307205715,6449.248456526672,0.5185440060058837,0.4942980206968275,2.4705722332000732
